griego,lat_antiguo,lat_moderno
ὅ,ho,ho
μὲν,men,men
ὑμεῖς,hymeis,imeís
ὦ,ō,o
ἄνδρες,andres,ándres
Ἀθηναῖοι,Athēnaioi,Athineí
πεπόνθατε,peponthate,peponthate
ὑπὸ,hypo,ypo
τῶν,tōn,ton
ἐμῶν,emōn,emón
κατηγόρων,katēgorōn,katigóron
οὐκ,ouk,ouk
οἶδα,oida,ída
ἐγώ,egō,egó
δ᾽,d',d'
οὖν,oun,oun
καὶ,kai,kai
αὐτὸς,autos,aftós
ὀλίγου,oligou,olígou
ἐμαυτοῦ,emautou,emavtoú
