griego,lat_antiguo,lat_moderno
ἀ,a,a
β,b,v
γ,g,gh
δ,d,d
ε,e,e
ζ,z,z
η,ē,i
θ,th,th
ι,i,i
κ,k,k
λ,l,l
μ,m,m
ν,n,n
ξ,x,x
ο,o,o
π,p,p
ρ,r,r
σ,s,s
ς,s,s
τ,t,t
υ,u,i
φ,ph,f
χ,kh,h
ψ,ps,ps
ω,ō,o
Ἀ,A,A
Ἑ,E,E
